,annoyed,interested,relaxed,happy,confident,frustrated,anxious,surprised,satisfied,desperate,TotalSequences
A04E_seance1,208,79,19,119,37,206,186,187,9,182,208
A04E_seance2,258,62,19,237,40,254,238,242,17,231,258
A03E_seance1,87,79,11,142,64,165,162,157,47,153,171
A03E_seance2,80,56,7,179,30,177,178,176,35,177,181
A02E_seance1,250,101,57,224,108,304,276,270,88,281,317
A02E_seance2,197,72,68,191,88,233,201,191,74,209,240
A01E_seance1,177,205,44,241,52,231,214,229,42,200,241
A01E_seance2,191,148,61,271,73,261,224,243,62,198,273
A02D_seance1,18,79,84,150,86,141,89,108,77,93,157
A02C_seance1,178,152,47,247,64,242,206,231,71,212,254
A02B_seance1,193,47,44,257,72,291,276,238,57,281,298
A02A_seance1,142,74,51,285,47,272,258,270,40,264,285
A01D_seance1,184,32,42,220,43,235,230,207,33,211,250
A01C_seance1,164,40,6,129,46,187,176,182,24,157,191
A01B_seance1,119,131,63,190,80,188,149,166,52,150,194
M08E_seance1,84,41,42,114,34,115,84,110,29,94,117
M09E_seance1,157,142,33,159,63,204,154,205,37,175,212
