user_id,id_seance_num,age_group,induction_group,date_session_string,textual_start_time,nb_activités,nb_exercices,duration_session_str,start_time,duration_session,num_réussi,num_moyen,num_raté,taux_réussite,réponse_affect_start,rep_long_courte,num_tokens_unique,sum_duration_speak,débit_parole,num_token_per_utterance_mean,num_token_per_utterance_max,num_token_per_utterance_min,duration_utterance_mean,duration_utterance_max,duration_utterance_min,lexical_diversity_TTR,lexical_diversity_BI,lexical_diversity_HS,c_density_score,p_density_score
A01A,A01A_seance1_1512,A,A,15 Décembre,15 heures et demie,16,8,environ une heure et demie,15:37,77,6,3,7,37.5,bien,courte,308,871.599,4.0,7.0,46,1,6.2,22.3,1.47,0.31,14.52,777.24,0.57,0.47
A01B,A01B_seance1_1412,A,B,14 Décembre,14 heures et demie,16,8,environ une heure,14:17,59,12,1,3,75.0,,,396,1157.075,3.6,8.6,83,1,7.7,30.56,2.05,0.3,14.5,817.25,0.59,0.48
A01C,A01C_seance1_1101,A,C,11 Janvier,15 heures et demie,16,8,environ une heure,15:16,61,8,4,4,50.0,,,365,1245.4039999999998,4.1,11.9,69,1,8.2,69.898,2.701,0.2,17.02,829.67,0.64,0.51
A01D,A01D_seance1_1612,A,D,16 Décembre,11 heures et demie,16,8,environ une heure,11:17,72,7,5,4,43.8,,,354,1174.7509999999997,2.8,9.0,59,1,7.8,38.0,1.31,0.26,15.45,820.49,0.67,0.41
A01E,A01E_seance1_1806,A,E,18 Juin,10 heures et demie,16,8,environ une heure,10:20,69,14,2,0,87.5,,,371,987.7040000000002,3.9,11.5,59,4,8.1,33.38,1.216,0.26,15.34,825.8,0.56,0.45
A01E,A01E_seance2_2406,A,E,24 Juin,15 heures,16,8,environ une heure,14:45,60,12,2,2,75.0,bien,courte,463,1474.6319999999996,3.3,12.0,61,1,9.6,45.4,1.46,0.25,15.34,841.93,0.64,0.54
A02A,A02A_seance1_1301,A,A,13 Janvier,11 heures et demie,16,8,environ une heure,11:38,73,11,2,3,68.8,,,749,2525.580999999998,4.7,15.7,93,1,11.5,60.507,2.16,0.22,15.39,876.19,0.65,0.47
A02B,A02B_seance1_1801,A,B,18 Janvier,11 heures et demie,16,8,environ une heure,11:18,69,10,1,5,62.5,,,404,1633.3259999999993,2.6,9.2,55,3,8.6,35.683,1.68,0.23,16.02,843.72,0.67,0.49
A02C,A02C_seance1_1801,A,C,18 Janvier,15 heures et demie,16,8,environ une heure et demie,15:23,76,8,3,5,50.0,bien,courte,547,1587.4130000000002,3.7,12.6,61,1,9.8,34.7,1.77,0.27,14.77,859.1,0.57,0.41
A02D,A02D_seance1_1901,A,D,19 Janvier,15 heures,16,8,environ une heure,15:13,59,10,4,2,62.5,bien,courte,436,969.8939999999998,4.5,11.4,83,1,7.8,31.37,2.649,0.31,14.35,823.83,0.59,0.44
A02E,A02E_seance1_1806,A,E,18 Juin,14 heures,16,8,environ une heure,14:12,52,14,2,0,87.5,,,287,711.9640000000003,4.6,8.9,49,1,5.0,20.975,1.414,0.23,16.58,803.4,0.55,0.48
